is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute,proportion_of_max_diameter_to_earth
0,483.67648821849997,1081.533506775,1995-01-07 00:00:00,1995-01-07 08:33:00,Earth,16.1428635186,58114.30866694488,Near Earth asteroid orbits similar to that of 2062 Aten,2154652,154652 (2004 EP20),968.571811115748,8.487941506631611e-05
1,96.50614695790001,215.7943048444,1995-01-07 00:00:00,1995-01-07 15:09:00,Earth,12.3510438151,44463.7577343496,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3153509,(2003 HM),741.0626289058267,1.69356698198399e-05
0,46.190746028199996,103.28564805040001,1995-01-07 00:00:00,1995-01-07 21:25:00,Earth,22.478615283699998,80923.0150213416,Near Earth asteroid orbits similar to that of 2062 Aten,3837644,(2019 AY3),1348.71691702236,8.105921209417675e-06
0,22.108281035900003,49.435619261999996,1995-01-07 00:00:00,1995-01-07 02:45:00,Earth,4.9986912098000005,17995.2883553078,Near Earth asteroid orbits similar to that of 1221 Amor,3843493,(2019 PY),299.9214725884633,3.879737816826244e-06
0,160.1603379786,358.1294030194,1995-01-08 00:00:00,1995-01-08 12:46:00,Earth,7.4650893561,26874.3216818148,An asteroid orbit contained entirely within the orbit of the Eart,3765015,(2016 WR48),447.90536136358,2.810621590169518e-05
0,802.7031672828999,1794.8988477988,1995-01-08 00:00:00,1995-01-08 10:54:00,Earth,32.1607528615,115778.71030144,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3824107,(2018 JB3),1929.6451716906668,0.00014086476595501492
1,231.5021222103,517.6544821978,1995-01-08 00:00:00,1995-01-08 09:13:00,Earth,7.5907111593,27326.560173582002,Near Earth asteroid orbits similar to that of 1221 Amor,2446862,446862 (2001 VB76),455.4426695597001,4.062584226948674e-05
0,27.8326768072,62.2357573367,1995-01-05 00:00:00,1995-01-05 06:02:00,Earth,5.4474225417,19610.7211502161,Near Earth asteroid orbits similar to that of 1221 Amor,3623683,(2013 AG53),326.8453525036017,4.884300528700361e-06
0,483.67648821849997,1081.533506775,1995-01-05 00:00:00,1995-01-05 22:31:00,Earth,21.605198800700002,77778.7156823659,Near Earth asteroid orbits similar to that of 1221 Amor,3645123,(2013 NX23),1296.3119280394315,8.487941506631611e-05
0,192.55507818790002,430.566244241,1995-01-05 00:00:00,1995-01-05 03:28:00,Earth,7.6363343327,27490.8035975483,Near Earth asteroid orbits similar to that of 1221 Amor,2416151,416151 (2002 RQ25),458.18005995913836,3.379110377028724e-05
0,20.1629919443,45.0858206172,1995-01-05 00:00:00,1995-01-05 14:32:00,Earth,7.7759841602,27993.542976657,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3550117,(2010 VB),466.55904961095,3.5383629428033276e-06
0,291.4439045349,651.6883821679,1995-01-06 00:00:00,1995-01-06 14:26:00,Earth,13.763152388599998,49547.3485989409,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3471692,(2009 UP1),825.7891433156817,5.114490520859363e-05
0,35.0392641108,78.35017643340001,1995-01-06 00:00:00,1995-01-06 04:51:00,Earth,6.6616654938,23981.9957775161,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3713272,(2015 EF7),399.69992962526834,6.14897005441846e-06
0,1272.1987853936,2844.7229650327004,1995-01-06 00:00:00,1995-01-06 04:47:00,Earth,9.6048767738,34577.5563855991,Near Earth asteroid orbits similar to that of 1221 Amor,2137062,137062 (1998 WM),576.2926064266518,0.0002232556086197379
0,8.4053340207,18.7948982439,1995-01-06 00:00:00,1995-01-06 00:41:00,Earth,7.0205499158,25273.9796969348,Near Earth asteroid orbits similar to that of 2062 Aten,3893486,(2019 WN2),421.23299494891336,1.4750351784570712e-06
1,133.2155666981,297.8790627982,1995-01-03 00:00:00,1995-01-03 01:31:00,Earth,14.2350916869,51246.330072703895,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3766463,(2017 AY13),854.1055012117316,2.337773212982263e-05
1,278.3267680719,622.3575733667,1995-01-03 00:00:00,1995-01-03 08:00:00,Earth,5.2486366908,18895.0920867914,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3342323,(2006 SF6),314.9182014465233,4.884300528698006e-05
1,146.0679642714,326.6178974458,1995-01-03 00:00:00,1995-01-03 03:33:00,Earth,5.2019174692000005,18726.902889213798,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2452807,452807 (2006 KV89),312.1150481535633,2.563317355562706e-05
1,278.3267680719,622.3575733667,1995-01-03 00:00:00,1995-01-03 18:17:00,Earth,5.2487147466,18895.3730879092,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2481394,481394 (2006 SF6),314.9228847984867,4.884300528698006e-05
0,441.11819999690005,986.3702813053999,1995-01-04 00:00:00,1995-01-04 18:33:00,Earth,15.4530476495,55630.9715383354,Near Earth asteroid orbits similar to that of 2062 Aten,2308041,308041 (2004 TN),927.1828589722568,7.741094657866896e-05
0,291.4439045349,651.6883821679,1995-01-04 00:00:00,1995-01-04 01:52:00,Earth,14.2722708044,51380.17489585732,Near Earth asteroid orbits similar to that of 2062 Aten,3359282,(2006 WN3),856.3362482642884,5.114490520859363e-05
0,26.58,59.434686841899996,1995-01-04 00:00:00,1995-01-04 04:37:00,Earth,25.347544487199997,91251.1601539319,Near Earth asteroid orbits similar to that of 2062 Aten,3485631,(2010 AF40),1520.8526692321982,4.664470792803328e-06
