is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute
0,23.150212221,51.76544821979999,1995-01-13 00:00:00,1995-01-13 14:15:00,Earth,17.162009339100006,61783.2336206074,Near Earth asteroid orbits similar to that of 1221 Amor,3263533,(2004 XG29),1029.7205603434568
0,55.533491158100006,124.1766612574,1995-01-13 00:00:00,1995-01-13 15:10:00,Earth,18.7825458444,67617.1650396737,An asteroid orbit contained entirely within the orbit of the Eart,3736819,(2015 YE),1126.9527506612283
0,231.5021222103,517.6544821978,1995-01-13 00:00:00,1995-01-13 15:29:00,Earth,21.5193423706,77469.6325340826,Near Earth asteroid orbits similar to that of 2062 Aten,3361551,(2006 WR127),1291.16054223471
0,80.2703167283,179.48988477990002,1995-01-13 00:00:00,1995-01-13 01:59:00,Earth,11.5094811181,41434.1320250948,Near Earth asteroid orbits similar to that of 2062 Aten,3704145,(2015 AB246),690.5688670849133
0,211.1324447897,472.10649880550005,1995-01-13 00:00:00,1995-01-13 10:42:00,Earth,12.6021862577,45367.8705278892,An asteroid orbit contained entirely within the orbit of the Eart,3314052,(2006 BO55),756.13117546482
0,231.5021222103,517.6544821978,1995-01-13 00:00:00,1995-01-13 15:29:00,Earth,21.519338268400002,77469.6177664031,Near Earth asteroid orbits similar to that of 2062 Aten,2526742,526742 (2006 WR127),1291.1602961067183
1,366.9061375314,820.4270648822,1995-01-10 00:00:00,1995-01-10 01:59:00,Earth,18.9235619734,68124.82310425371,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3117420,(2002 EY2),1135.4137184042286
0,53.0340723319,118.5877908577,1995-01-10 00:00:00,1995-01-10 09:37:00,Earth,3.7998353604000004,13679.407297560401,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3620667,(2012 XP111),227.9901216260067
0,366.9061375314,820.4270648822,1995-01-10 00:00:00,1995-01-10 09:00:00,Earth,15.888186256800001,57197.470524375996,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2163023,163023 (2001 XU1),953.2911754062666
0,88.0146520901,196.80674508939998,1995-01-10 00:00:00,1995-01-10 17:49:00,Earth,24.288857898099998,87439.8884332712,Near Earth asteroid orbits similar to that of 1221 Amor,3366004,(2007 AA9),1457.3314738878535
