Date,Value
2019-12-31,4110.847006954475
2018-12-31,4246.127123377538
2017-12-31,4305.4336054860405
2016-12-31,4262.462997574943
2015-12-31,4209.484727932704
2014-12-31,4205.396201086442
2013-12-31,4437.930442109728
2012-12-31,4543.970357586084
2011-12-31,4603.658470965035
2010-12-31,4681.226071374731
2009-12-31,4573.516275366404
2008-12-31,4936.930171697987
2007-12-31,5019.230475507324
2006-12-31,5060.388158649126
2005-12-31,4984.51675722671
2004-12-31,4989.31107563118
2003-12-31,4970.998180860319
2002-12-31,4841.646314999617
2001-12-31,4847.219854556604
2000-12-31,4790.483623763658
1999-12-31,4758.446613175135
1998-12-31,4828.573260714555
1997-12-31,4808.495951993984
1996-12-31,4883.123824381127
1995-12-31,4782.63564987944
1994-12-31,4725.137478811264
1993-12-31,4890.82827262987
1992-12-31,5072.318419177382
1991-12-31,5306.59148976384
1990-12-31,5453.051191415631
1989-12-31,5445.007755122834
1988-12-31,5458.747883511277
1987-12-31,5509.9252437510095
1986-12-31,5453.903553295077
1985-12-31,5397.580204088828
1984-12-31,4489.388963059391
1983-12-31,4466.781992503567
1982-12-31,4500.178637287003
1981-12-31,4600.24867424794
1980-12-31,4800.929985623223
1979-12-31,4915.531532606363
1978-12-31,4761.50705662319
1977-12-31,4723.79971855027
1976-12-31,4720.984219277387
1975-12-31,4441.988294856809
1974-12-31,4544.414435398733
1973-12-31,4667.7210034467225
1972-12-31,4438.972775755111
1971-12-31,4293.233159509243
1970-12-31,4226.119928863628
1969-12-31,4008.33210967102
1968-12-31,3757.7346067772082
1967-12-31,3543.8612281739674
1966-12-31,3474.880344312678
1965-12-31,3427.809283851949
